artists,spotify_id,monthly_listeners
Lucky Peterson,3OxsMm9KHw2FRJLGHtILl5,65900
Titus Williams,2K0crC4ekOyAs8pjqS8dKB,373
"Ray ""Killer"" Allison",3Q0HOgwnPIW7zk7YGkohc2,0
Luther Allison,7EynH3keqfKUmauyaeZoxv,160600
We The Heathens,4U3TCX8zNcabb8tDtIMdgp,11800
Ramshackle Glory,0qdblxxVBeNzq1LFwzjN9g,50100
Eric Lumiere,4TSqSBlGY1wV5qhnX6vVwB,151000
Carly Lyman,0JTSOm4WqfTPZVzKpl5b9K,0
Jason Lux,6LZMT40ot82WlrWyYQmwyB,127400
Michelle Featherstone,1Y50jSAGSM3NnuzqB8yTsk,24300
Big Mama Thornton,6bR0cgMtkCVpm0I5yrDNzO,234800
Neulore,6SLbaDa56f1CZlUNuF0gk3,26600
Nathan Angelo,2SqgsdjQfoeGLl8Zq2O5aE,123600
Andrew Ripp,7oAskcd3mX9ZzxMPFHYqoN,923200
Covers Culture,5WqAC2eKe7UnQifadzN9r7,10
Acoustic Covers Culture,6YjLcNee0zYri4IbAnsC2D,0
Lounge Covers Culture Of Popular Songs,6jqJtgQMxwzgdxaJX2Jw3B,1400
Keisha White,2mmqVFK5tacUQOfldCNeaX,139100
Beans on Toast,6fVeXD7D2RpFoR6bzNEDPo,54500
Not Half Bad,3oOlOS93V6ex5t5lrvZ7s7,20000
"Defiance, Ohio",275dFoyS7o1g1O4rFgy3Ix,87100
NORMANDY,31AyAonR1hLJW6fJclSukV,9800
Lynn Miller,7t16j0VcCmlGamciil7QwK,0
Parker Jenkins,7tWORed2e6L4nzFezvRPOI,2800
Sunset & Highland,11gRZ3XWWyqrY8LUdV5EZT,43700
Shikao Suga,3sddhwNhGabYSvzYKhB7qj,232800
Guus Dielissen,2lBxgKTiYd4kpfnAnFyI1P,463300
Naotaro Moriyama,31VPfrPEa86aKpD2LT3Ued,525300
Postcards & Polaroids,5ccCHLpAxCdSMFHeeLUPrw,26400
Sad Boy,1DBadVuL4ksSfQbWi0GiNd,3100
Yu Takahashi,4aDG4r8Fb7lNdMtETDIB4t,853100
Unkle Bob,3Bf4u6r96pGx1eIbaGqfvf,44100
The Cameron Collective,30CTCeWTcfn1YhUcRmxinO,63400
Kurei,4vhBj1tAmj0jreQyGM7s9W,6800
Little Walter,22JuR9OeENcP54XN5TlNWS,300100
Matt Pless,3yQ3jD3d0ytK5DdnsiM2e5,26500
Jay Filson,7uRzmsDR6QQL4zYgHv2O6p,100200
Ankle Grease,6rv1Ew6Q4UXmIOsTkO528y,8700
John Elliott,656sXNLrPYauWAmwrV2ySw,1800
Taylor Manns,008yUYD9avjHlXXmT47dz9,18300
Zak Manley,7lPHtt1VkCRiYgDji7FCq2,121700
Linn Brikell,0PNyNiPpI6zQnbQyXDPQzu,90200
Rosie Thomas,5Tw6OSRLoU7IHTO8kHGRQr,48700
The Shins,4LG4Bs1Gadht7TCrMytQUO,2900000
Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,15300000
Josh Ottum,0HuUZip4HsqYsjkq4qZ6NB,122
Celestial Conscience,0UG5sCzTJoQXp7RvjoypkI,25900
Erato,72T7KgrFiMTgXRWxfuDn5o,408600
Charlotte Almgren,0XlZ7ymNRBhsLCUpX8fBua,1400
Caj Morgan,6Xvy1uxkv35sodFf8FfpNw,40400
Kazuyoshi Saito,7sl3PZyhzAqUpL3M6WVD8G,1100000
Brendan James,2aIPQyKrN3oVev1kHudiai,69600
Calibretto 13,3KKiTDneH2x2sLtVPnTSOh,2500
Laura Jane Grace,4yfPiAauSgUfyc4k4WtwM9,62700
Derek Trucks,1xJPYI7GXasA3ariMSftPq,488300
Grace Petrie,4bFdVUzXSr2unwjEoOe5dY,12400
Salty Snacks,5rXaOEzB1J3SPGCwb6yVcG,6700
Alex Goot,66Fb5gJ9SX2WGlqDLUpjux,334800
Michael Logen,7KaasLUJvHN32JTeXBmowR,26800
Ice Seguerra,19X3R5eJguNYE8lwDZZWV9,56900
Jimmy Rogers,20k4RFKXyboeDSz9bjumx0,92600
Steve Pulvers,4EIHPmsZkohwAGfn46iNmq,44500
Stephan Baulig,7gAbIQOGMoPh5J2VtRF5Ks,19900
Rory Block,6hkNj3GAqFbkEUCs3R1dY3,88300
Bobbylene,4jVjfrQxk5Ume1XLK0UdxM,44100
Joey Cape,47LEGQCc9FShxKmbod8u7e,25600
Cannon's Jug Stompers,65oBffOa88Yjia8B9FTLAS,3200
ELLE,69CkCxLxcVNFW6k252bWA0,23
J.J. Grey,2uAduWnHf7kmOLazXpsGl1,5300
Chrissy Dave,0mJ6L6PN7PcoqUBSw0zAmy,18800
J-Que Beenz,0acIWCh2fgq3vfr2D1P1XS,124200
Roberto Diana,1ADT5n2ddD6Pawz2Ufjik4,9600
Muniesa,3ZQonINCoqeD0Fe8FzeZ8v,15500
Bootstraps,0x5TKpXlF0dsnMNB2xOYXz,58400
Graham Colton,3bCmhyXqTr9ZNGlHNYNTFA,144200
Stephanie Briggs,50jBlZgEf9BJOkTuzWpkG5,24
Correatown,2GJQXrUXTv7KbTFnUp2ZKJ,15600
Aberola,0i3cbCgMSQS3tXMVFXoaTC,40200
She/Her/hers,4VfY7XPH7M1nahvlNluxTg,18400
Corporate Hearts,2OLdp1MFO8NLtcRpE0e76m,10100
Dan Andriano in the Emergency Room,6PzNEcjhgM7tQ9FfrPEPrc,14000
Limoblaze,0liXA3xwx6pncxYQA30ahT,985300
Lecrae,1CFCsEqKrCyvAFKOATQHiW,2500000
Happi,0YbBm6H6QlKoGl7igoxB34,6500
Criolo,37ZflmHTdxkSLQuT8w9NBs,1800000
Rael,0GWNKI3VPEcJsOIEhUjmxd,1400000
BaianaSystem,5JHYuwE2n7bleXMUsmtCW5,801200
Plastilina Mosh,4PtVXWSOmF4Tox1jj6ctSq,1300000
BNegão,3wYrCJWf6iI5vuUDOnZdUw,99600
MC Hariel,0pcoadNMmvrUyab1RxWBoV,8300000
Liniker,2O6q06oNcmOIPg1qidSU3C,2800000
Maria Vilani,3t7oGsQ0d8tswRxZVNdM8G,0
Jaques Morelenbaum,5QdS83aNvQzKgj43VTdY8d,538200
Jorge Drexler,4ssUf5gLb1GBLxi1BhPrVt,2500000
Sebastián Prada,3sKZkGBDzeqXtOzKGzMaS6,11100
Emicida,2d9LRvQJnAXRijqIJDDs2K,2100000
Mano Brown,0fMjaafeNhHPA6mJ5ZglAJ,608300
Liz Reis,4gxxqKQABZVa6qOxSVcXEC,0
Evandro Fióti,0mXdPvdqQete31NQDPBlT4,28600
Juanafé,5CE7PcyVcEKMSuQA4IHF7d,135500
Milton Nascimento,3Bnq7jiU506HcPjRgQ43TM,2500000
Samuca e a Selva,3xRsjZtEO4W7Y4Wgr4wSLD,84200
Jackie Mittoo,6UTUjmko5raD927Hbx960a,154500
Pompi,1Rkz7wbIgGz8wBCN8TsfKU,111100
Menahan Street Band,1PryMSya1JnSAlcwYawCxp,798500
